,period,location,player,pass,x_start,y_start,x_end,y_end,id,recipient_name,0,recipient,length,angle,height,end_location,type,body_part,outcome,aerial_won,deflected,outswinging,technique,switch,cross,assisted_shot_id,goal_assist,through_ball,inswinging,shot_assist,no_touch,miscommunication,cut_back
176,1,"[53.9, 0.1]",Luke Shaw,"{'recipient': {'id': 4706, 'name': 'Kalvin Phillips'}, 'length': 9.895453, 'angle': 1.3258177, 'height': {'id': 2, 'name': 'Low Pass'}, 'end_location': [56.3, 9.7], 'type': {'id': 67, 'name': 'Throw-in'}}",53.9,0.1,56.3,9.7,4706.0,Kalvin Phillips,,"{'id': 4706, 'name': 'Kalvin Phillips'}",9.895453,1.3258177,"{'id': 2, 'name': 'Low Pass'}","[56.3, 9.7]","{'id': 67, 'name': 'Throw-in'}",,,,,,,,,,,,,,,,
177,1,"[49.5, 6.0]",Kalvin Phillips,"{'recipient': {'id': 3943, 'name': 'Declan Rice'}, 'length': 9.0824, 'angle': -2.7815332, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [41.0, 2.8], 'body_part': {'id': 40, 'name': 'Right Foot'}}",49.5,6.0,41.0,2.8,3943.0,Declan Rice,,"{'id': 3943, 'name': 'Declan Rice'}",9.0824,-2.7815332,"{'id': 1, 'name': 'Ground Pass'}","[41.0, 2.8]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
178,1,"[39.7, 3.5]",Declan Rice,"{'recipient': {'id': 3244, 'name': 'John Stones'}, 'length': 25.85208, 'angle': 1.6793177, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [36.9, 29.2], 'body_part': {'id': 40, 'name': 'Right Foot'}}",39.7,3.5,36.9,29.2,3244.0,John Stones,,"{'id': 3244, 'name': 'John Stones'}",25.85208,1.6793177,"{'id': 1, 'name': 'Ground Pass'}","[36.9, 29.2]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
179,1,"[36.6, 29.7]",John Stones,"{'recipient': {'id': 3233, 'name': 'Raheem Sterling'}, 'length': 25.08904, 'angle': 0.71770513, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [55.5, 46.2], 'body_part': {'id': 40, 'name': 'Right Foot'}}",36.6,29.7,55.5,46.2,3233.0,Raheem Sterling,,"{'id': 3233, 'name': 'Raheem Sterling'}",25.08904,0.71770513,"{'id': 1, 'name': 'Ground Pass'}","[55.5, 46.2]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
180,1,"[53.5, 29.2]",Raheem Sterling,"{'recipient': {'id': 3943, 'name': 'Declan Rice'}, 'length': 7.975588, 'angle': -2.0961633, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [49.5, 22.3], 'body_part': {'id': 40, 'name': 'Right Foot'}}",53.5,29.2,49.5,22.3,3943.0,Declan Rice,,"{'id': 3943, 'name': 'Declan Rice'}",7.975588,-2.0961633,"{'id': 1, 'name': 'Ground Pass'}","[49.5, 22.3]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
181,1,"[49.4, 24.1]",Declan Rice,"{'recipient': {'id': 3244, 'name': 'John Stones'}, 'length': 26.816412, 'angle': 1.8972639, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [40.8, 49.5], 'body_part': {'id': 40, 'name': 'Right Foot'}}",49.4,24.1,40.8,49.5,3244.0,John Stones,,"{'id': 3244, 'name': 'John Stones'}",26.816412,1.8972639,"{'id': 1, 'name': 'Ground Pass'}","[40.8, 49.5]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
182,1,"[41.8, 51.3]",John Stones,"{'recipient': {'id': 3205, 'name': 'Kyle Walker'}, 'length': 18.470787, 'angle': 1.1168337, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [49.9, 67.9], 'body_part': {'id': 40, 'name': 'Right Foot'}}",41.8,51.3,49.9,67.9,3205.0,Kyle Walker,,"{'id': 3205, 'name': 'Kyle Walker'}",18.470787,1.1168337,"{'id': 1, 'name': 'Ground Pass'}","[49.9, 67.9]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
183,1,"[49.0, 69.7]",Kyle Walker,"{'recipient': {'id': 3308, 'name': 'Kieran Trippier'}, 'length': 12.31097, 'angle': 0.75092906, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [58.0, 78.1], 'body_part': {'id': 40, 'name': 'Right Foot'}}",49.0,69.7,58.0,78.1,3308.0,Kieran Trippier,,"{'id': 3308, 'name': 'Kieran Trippier'}",12.31097,0.75092906,"{'id': 1, 'name': 'Ground Pass'}","[58.0, 78.1]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
184,1,"[58.0, 78.1]",Kieran Trippier,"{'recipient': {'id': 10955, 'name': 'Harry Kane'}, 'length': 12.976903, 'angle': -0.4981167, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [69.4, 71.9], 'body_part': {'id': 40, 'name': 'Right Foot'}}",58.0,78.1,69.4,71.9,10955.0,Harry Kane,,"{'id': 10955, 'name': 'Harry Kane'}",12.976903,-0.4981167,"{'id': 1, 'name': 'Ground Pass'}","[69.4, 71.9]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
185,1,"[69.3, 74.6]",Kieran Trippier,"{'recipient': {'id': 3382, 'name': 'Luke Shaw'}, 'length': 72.83303, 'angle': -0.98774415, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [109.4, 13.8], 'switch': True, 'type': {'id': 62, 'name': 'Free Kick'}, 'body_part': {'id': 40, 'name': 'Right Foot'}}",69.3,74.6,109.4,13.8,3382.0,Luke Shaw,,"{'id': 3382, 'name': 'Luke Shaw'}",72.83303,-0.98774415,"{'id': 3, 'name': 'High Pass'}","[109.4, 13.8]","{'id': 62, 'name': 'Free Kick'}","{'id': 40, 'name': 'Right Foot'}",,,,,,True,,,,,,,,,
